Site Name	SiteID	Meta Category	L1	L2	L3	L4	L5	L6	Cat ID	Level	Leaf	Breadcrumb	Category Name	Business Vertical (Direct Child Categories)	ODI Product Space	Lead	Category RYG Status	ET Name	GH Batch	ET Alignment	ET Alignment: Comment	Cat ID Site Alignment	Legal/Policy Requests	Focus Category – Category	Focus Category – Aspect	Planned CR	Comments	Test Category Flag	Test Category	Other Category	Key
AU	15	Food & Drinks			Coffee				185036	3	No	Food & Drinks [14308] > Non-Alcoholic Drinks [185035] > Coffee [185036]	Coffee	Home & Garden	Home & Garden	Rebecca Ruprecht	Green					US|UK|AU|DE|FR|IT|ES							N		15_185036
AU	15	Food & Drinks				Coffee Beans			38179	4	Yes	Food & Drinks [14308] > Non-Alcoholic Drinks [185035] > Coffee [185036] > Coffee Beans [38179]	Coffee Beans	Home & Garden	Home & Garden	Rebecca Ruprecht	Green	Food & Non-Alcoholic Beverage	H&G Batch 1	Big7 Aligned		US|UK|AU|DE|FR|IT|ES							N		15_38179
AU	15	Food & Drinks				Coffee Pods			79630	4	Yes	Food & Drinks [14308] > Non-Alcoholic Drinks [185035] > Coffee [185036] > Coffee Pods [79630]	Coffee Pods	Home & Garden	Home & Garden	Rebecca Ruprecht	Green	Food & Non-Alcoholic Beverage	H&G Batch 1	Big7 Aligned		US|UK|AU|DE|FR|IT|ES							N		15_79630
AU	15	Food & Drinks				Coffee Substitutes			185037	4	Yes	Food & Drinks [14308] > Non-Alcoholic Drinks [185035] > Coffee [185036] > Coffee Substitutes [185037]	Coffee Substitutes	Home & Garden	Home & Garden	Rebecca Ruprecht	Green	Food & Non-Alcoholic Beverage	H&G Batch 1	Big7 Aligned		US|UK|AU|DE|FR|IT|ES							N		15_185037
AU	15	Food & Drinks				Ground Coffee			79629	4	Yes	Food & Drinks [14308] > Non-Alcoholic Drinks [185035] > Coffee [185036] > Ground Coffee [79629]	Ground Coffee	Home & Garden	Home & Garden	Rebecca Ruprecht	Green	Food & Non-Alcoholic Beverage	H&G Batch 1	Big7 Aligned		US|UK|AU|DE|FR|IT|ES							N		15_79629
AU	15	Food & Drinks				Instant Coffee			185038	4	Yes	Food & Drinks [14308] > Non-Alcoholic Drinks [185035] > Coffee [185036] > Instant Coffee [185038]	Instant Coffee	Home & Garden	Home & Garden	Rebecca Ruprecht	Green	Food & Non-Alcoholic Beverage	H&G Batch 1	Big7 Aligned		US|UK|AU|DE|FR|IT|ES							N		15_185038
AU	15	Food & Drinks				Other Coffee			185039	4	Yes	Food & Drinks [14308] > Non-Alcoholic Drinks [185035] > Coffee [185036] > Other Coffee [185039]	Other Coffee	Home & Garden	Home & Garden	Rebecca Ruprecht	Green	Food & Non-Alcoholic Beverage	H&G Batch 1	Big7 Aligned		US|UK|AU|DE|FR|IT|ES							N	Y	15_185039
AU	15	Food & Drinks			Energy & Fitness Drinks				185040	3	Yes	Food & Drinks [14308] > Non-Alcoholic Drinks [185035] > Energy & Fitness Drinks [185040]	Energy & Fitness Drinks	Home & Garden	Home & Garden	Rebecca Ruprecht	Green	Food & Non-Alcoholic Beverage	H&G Batch 1	Big7 Aligned		US|UK|AU|DE|FR|IT|ES							N		15_185040
AU	15	Food & Drinks			Soft Drinks				179188	3	Yes	Food & Drinks [14308] > Non-Alcoholic Drinks [185035] > Soft Drinks [179188]	Soft Drinks	Home & Garden	Home & Garden	Rebecca Ruprecht	Green	Food & Non-Alcoholic Beverage	H&G Batch 1	Big7 Aligned		US|UK|AU|DE|FR|IT|ES							N		15_179188
AU	15	Food & Drinks			Hot Chocolate & Malted Drinks				185041	3	Yes	Food & Drinks [14308] > Non-Alcoholic Drinks [185035] > Hot Chocolate & Malted Drinks [185041]	Hot Chocolate & Malted Drinks	Home & Garden	Home & Garden	Rebecca Ruprecht	Green	Food & Non-Alcoholic Beverage	H&G Batch 1	Big7 Aligned		US|UK|AU|DE|FR|IT|ES							N		15_185041
AU	15	Food & Drinks			Iced Tea				185042	3	Yes	Food & Drinks [14308] > Non-Alcoholic Drinks [185035] > Iced Tea [185042]	Iced Tea	Home & Garden	Home & Garden	Rebecca Ruprecht	Green	Food & Non-Alcoholic Beverage	H&G Batch 1	Big7 Aligned		US|UK|AU|DE|FR|IT|ES							N		15_185042
AU	15	Food & Drinks			Juices, Milkshakes & Smoothies				179176	3	Yes	Food & Drinks [14308] > Non-Alcoholic Drinks [185035] > Juices, Milkshakes & Smoothies [179176]	Juices, Milkshakes & Smoothies	Home & Garden	Home & Garden	Rebecca Ruprecht	Green	Food & Non-Alcoholic Beverage	H&G Batch 1	Big7 Aligned		US|UK|AU|DE|FR|IT|ES							N		15_179176
AU	15	Food & Drinks			Longlife Dairy				257940	3	Yes	Food & Drinks [14308] > Non-Alcoholic Drinks [185035] > Longlife Dairy [257940]	Longlife Dairy	Home & Garden	Home & Garden	Rebecca Ruprecht	Green	Food & Non-Alcoholic Beverage	H&G Batch 1	Big7 Aligned		US|UK|AU|DE|FR|IT|ES							N		15_257940
