Site Name	SiteID	Meta Category	L1	L2	L3	L4	L5	L6	Cat ID	Level	Leaf	Breadcrumb	Category Name	Business Vertical (Direct Child Categories)	ODI Product Space	Lead	Category RYG Status	ET Name	GH Batch	ET Alignment	ET Alignment: Comment	Cat ID Site Alignment	Legal/Policy Requests	Focus Category – Category	Focus Category – Aspect	Planned CR	Comments	Test Category Flag	Test Category	Other Category	Key
ES	186	Arte y antigüedades			Africano/Egipcio				4171	3	Yes	Arte y antigüedades [353] > Arte étnico/Artesanía de mundo [150974] > Africano/Egipcio [4171]	Africano/Egipcio	Collectibles		Francesca Contessotto	Green					US|UK|DE|IT|ES							N		186_4171
ES	186	Arte y antigüedades			Oriental/Indio/Tibetano				2194	3	Yes	Arte y antigüedades [353] > Arte étnico/Artesanía de mundo [150974] > Oriental/Indio/Tibetano [2194]	Oriental/Indio/Tibetano	Collectibles		Francesca Contessotto	Green					US|UK|AU|DE|IT|ES							N		186_2194
ES	186	Arte y antigüedades			Otras				2204	3	Yes	Arte y antigüedades [353] > Arte étnico/Artesanía de mundo [150974] > Otras [2204]	Otras	Collectibles		Francesca Contessotto	Green					US|UK|AU|ES							N	Y	186_2204
ES	186	Arte y antigüedades		Arte digital y foto artística					20118	2	Yes	Arte y antigüedades [353] > Arte digital y foto artística [20118]	Arte digital y foto artística	Collectibles		Francesca Contessotto	Green					FR|IT|ES							N		186_20118
ES	186	Arte y antigüedades		Artículos religiosos					151000	2	No	Arte y antigüedades [353] > Artículos religiosos [151000]	Artículos religiosos	Collectibles		Francesca Contessotto	Green					ES							N		186_151000
ES	186	Arte y antigüedades			Estampas				77784	3	Yes	Arte y antigüedades [353] > Artículos religiosos [151000] > Estampas [77784]	Estampas	Collectibles		Francesca Contessotto	Green					ES							N		186_77784
ES	186	Arte y antigüedades			Imágenes y tallas				13768	3	Yes	Arte y antigüedades [353] > Artículos religiosos [151000] > Imágenes y tallas [13768]	Imágenes y tallas	Collectibles		Francesca Contessotto	Green					US|UK|IT|ES							N		186_13768
ES	186	Arte y antigüedades			Medallas				13769	3	Yes	Arte y antigüedades [353] > Artículos religiosos [151000] > Medallas [13769]	Medallas	Collectibles		Francesca Contessotto	Green					US|UK|IT|ES							N		186_13769
ES	186	Arte y antigüedades			Rosarios				11670	3	Yes	Arte y antigüedades [353] > Artículos religiosos [151000] > Rosarios [11670]	Rosarios	Collectibles		Francesca Contessotto	Green					US|UK|IT|ES							N		186_11670
ES	186	Arte y antigüedades			Otros				366	3	Yes	Arte y antigüedades [353] > Artículos religiosos [151000] > Otros [366]	Otros	Collectibles		Francesca Contessotto	Green					US|UK|DE|ES							N	Y	186_366
ES	186	Arte y antigüedades		Cerámica y porcelana					870	2	No	Arte y antigüedades [353] > Cerámica y porcelana [870]	Cerámica y porcelana	Collectibles		Francesca Contessotto	Green					US|UK|AU|DE|FR|IT|ES							N		186_870
