order_no,SITE_ID,SITE,L1,L2,L3,L4,L5,L6,Cat ID,Level,Parent / Leaf,Breadcrumb,Category Friendly Name,Sheet_Label
1,0,US,Antiques,,,,,,20081,1,Parent,Antiques,Antiques,Term Based BN?
329,0,US,Art,,,,,,550,1,Parent,Art,Art,Term Based BN?
340,0,US,Baby,,,,,,2984,1,Parent,Baby,Baby Essentials,Term Based BN?
514,0,US,Books & Magazines,,,,,,267,1,Parent,Books & Magazines,Books & Magazines,Term Based BN?
532,0,US,Business & Industrial,,,,,,12576,1,Parent,Business & Industrial,Business & Industrial,Term Based BN?
3697,0,US,Cameras & Photo,,,,,,625,1,Parent,Cameras & Photo,Cameras & Photo,Term Based BN?
3863,0,US,Cell Phones & Accessories,,,,,,15032,1,Parent,Cell Phones & Accessories,"Cell Phones, Smart Watches & Accessories",Term Based BN?
3904,0,US,"Clothing, Shoes & Accessories",,,,,,11450,1,Parent,"Clothing, Shoes & Accessories","Clothing, Shoes & Accessories",Term Based BN?
4421,0,US,Coins & Paper Money,,,,,,11116,1,Parent,Coins & Paper Money,Coins & Paper Money,Term Based BN?
4970,0,US,Collectibles,,,,,,1,1,Parent,Collectibles,Collectibles,Term Based BN?
8459,0,US,Computers/Tablets & Networking,,,,,,58058,1,Parent,Computers/Tablets & Networking,"Computers, Tablets & Network Hardware",Term Based BN?
8732,0,US,Consumer Electronics,,,,,,293,1,Parent,Consumer Electronics,Consumer Electronics,Term Based BN?
9034,0,US,Crafts,,,,,,14339,1,Parent,Crafts,Art & Craft Supplies,Term Based BN?
9711,0,US,Dolls & Bears,,,,,,237,1,Parent,Dolls & Bears,Dolls & Teddy Bears,Term Based BN?
9752,0,US,Entertainment Memorabilia,,,,,,45100,1,Parent,Entertainment Memorabilia,Entertainment Memorabilia,Term Based BN?
16766,0,US,Everything Else,,,,,,99,1,Parent,Everything Else,Everything Else,Term Based BN?
10710,0,US,Gift Cards & Coupons,,,,,,172008,1,Parent,Gift Cards & Coupons,Gift Cards & Coupons,Term Based BN?
10716,0,US,Health & Beauty,,,,,,26395,1,Parent,Health & Beauty,Health & Beauty,Term Based BN?
11165,0,US,Home & Garden,,,,,,11700,1,Parent,Home & Garden,Home & Garden,Term Based BN?
12950,0,US,Jewelry & Watches,,,,,,281,1,Parent,Jewelry & Watches,Jewelry & Watches,Term Based BN?
9743,0,US,Movies & TV,,,,,,11232,1,Parent,Movies & TV,Movies & TV,Term Based BN?
13069,0,US,Music,,,,,,11233,1,Parent,Music,Music,Term Based BN?
13076,0,US,Musical Instruments & Gear,,,,,,619,1,Parent,Musical Instruments & Gear,Musical Instruments & Gear,Term Based BN?
13494,0,US,Pet Supplies,,,,,,1281,1,Parent,Pet Supplies,Pet Supplies,Term Based BN?
13640,0,US,Pottery & Glass,,,,,,870,1,Parent,Pottery & Glass,Pottery & Glass,Term Based BN?
13695,0,US,Real Estate,,,,,,10542,1,Parent,Real Estate,Real Estate,Term Based BN?
13702,0,US,Specialty Services,,,,,,316,1,Parent,Specialty Services,Specialty Services,Term Based BN?
13776,0,US,Sporting Goods,,,,,,888,1,Parent,Sporting Goods,Sporting Goods,Term Based BN?
15346,0,US,"Sports Mem, Cards & Fan Shop",,,,,,64482,1,Parent,"Sports Mem, Cards & Fan Shop","Sports Memorabilia, Fan Shop & Sports Cards",Term Based BN?
15564,0,US,Stamps,,,,,,260,1,Parent,Stamps,Stamps,Term Based BN?
16028,0,US,Tickets & Experiences,,,,,,1305,1,Parent,Tickets & Experiences,Tickets & Experiences,Term Based BN?
16036,0,US,Toys & Hobbies,,,,,,220,1,Parent,Toys & Hobbies,Toys & Hobbies,Term Based BN?
16705,0,US,Travel,,,,,,3252,1,Parent,Travel,Travel,Term Based BN?
16737,0,US,Video Games & Consoles,,,,,,1249,1,Parent,Video Games & Consoles,Video Games & Consoles,Term Based BN?
2,0,US,Antiques,Architectural & Garden,,,,,4707,2,Parent,Antiques > Architectural & Garden,Architectural & Garden Antiques,Term Based BN?
39,0,US,Antiques,Asian Antiques,,,,,20082,2,Parent,Antiques > Asian Antiques,Asian Antiques,Term Based BN?
113,0,US,Antiques,Ethnographic,,,,,2207,2,Parent,Antiques > Ethnographic,Ethnographic Antiques,Term Based BN?
124,0,US,Antiques,Furniture,,,,,20091,2,Parent,Antiques > Furniture,Antique Furniture,Term Based BN?
152,0,US,Antiques,"Maps, Atlases & Globes",,,,,37958,2,Parent,"Antiques > Maps, Atlases & Globes","Antique Maps, Atlases & Globes",Term Based BN?
167,0,US,Antiques,Maritime,,,,,37965,2,Parent,Antiques > Maritime,Maritime Antiques,Term Based BN?
196,0,US,Antiques,"Mercantile, Trades & Factories",,,,,163091,2,Parent,"Antiques > Mercantile, Trades & Factories","Mercantile, Trade & Factory Antiques",Term Based BN?
206,0,US,Antiques,Musical Instruments (Pre-1930),,,,,181726,2,Parent,Antiques > Musical Instruments (Pre-1930),Antique Musical Instruments,Term Based BN?
216,0,US,Antiques,Restoration & Care,,,,,261755,2,Parent,Antiques > Restoration & Care,Antiques Restoration & Care,Term Based BN?
221,0,US,Antiques,Science & Medicine (Pre-1930),,,,,20094,2,Parent,Antiques > Science & Medicine (Pre-1930),Science & Medicine Antiques,Term Based BN?
244,0,US,Antiques,Sewing (Pre-1930),,,,,156323,2,Parent,Antiques > Sewing (Pre-1930),Sewing Antiques,Term Based BN?
258,0,US,Antiques,Silver,,,,,20096,2,Parent,Antiques > Silver,Silver Antiques,Term Based BN?
341,0,US,Baby,Baby Gear,,,,,100223,2,Parent,Baby > Baby Gear,Baby Gear,Term Based BN?
350,0,US,Baby,Baby Safety & Health,,,,,20433,2,Parent,Baby > Baby Safety & Health,Baby Safety & Health Products,Term Based BN?
366,0,US,Baby,Bathing & Grooming,,,,,20394,2,Parent,Baby > Bathing & Grooming,Baby Bathing & Grooming Products,Term Based BN?
377,0,US,Baby,Car Safety Seats,,,,,66692,2,Parent,Baby > Car Safety Seats,Baby Car Safety Seats,Term Based BN?
385,0,US,Baby,Diapering,,,,,45455,2,Parent,Baby > Diapering,Baby Diapering Products,Term Based BN?
399,0,US,Baby,Feeding,,,,,20400,2,Parent,Baby > Feeding,Baby Feeding Supplies,Term Based BN?
438,0,US,Baby,Keepsakes & Baby Announcements,,,,,117388,2,Parent,Baby > Keepsakes & Baby Announcements,Baby Keepsakes & Announcements,Term Based BN?
446,0,US,Baby,Nursery Bedding,,,,,20416,2,Parent,Baby > Nursery Bedding,Nursery Bedding,Term Based BN?
462,0,US,Baby,Nursery Décor,,,,,66697,2,Parent,Baby > Nursery Décor,Nursery Décor,Term Based BN?
478,0,US,Baby,Nursery Furniture,,,,,20422,2,Parent,Baby > Nursery Furniture,Nursery Furniture,Term Based BN?
490,0,US,Baby,Strollers & Accessories,,,,,66698,2,Parent,Baby > Strollers & Accessories,Strollers & Accessories,Term Based BN?
504,0,US,Baby,Toys for Baby,,,,,19068,2,Parent,Baby > Toys for Baby,Baby Toys,Term Based BN?
515,0,US,Books & Magazines,Accessories,,,,,45110,2,Parent,Books & Magazines > Accessories,Book Accessories,Term Based BN?
526,0,US,Books & Magazines,"Textbooks, Education & Reference",,,,,184644,2,Parent,"Books & Magazines > Textbooks, Education & Reference","Textbooks, Educational & Reference Books",Term Based BN?
533,0,US,Business & Industrial,"Adhesives, Sealants & Tapes",,,,,109471,2,Parent,"Business & Industrial > Adhesives, Sealants & Tapes","Industrial Adhesives, Sealants & Tapes",Term Based BN?
555,0,US,Business & Industrial,Agriculture & Forestry,,,,,11748,2,Parent,Business & Industrial > Agriculture & Forestry,Agriculture & Forestry Equipment,Term Based BN?
575,0,US,Business & Industrial,Building Materials & Supplies,,,,,41498,2,Parent,Business & Industrial > Building Materials & Supplies,Industrial Building Materials & Supplies,Term Based BN?
813,0,US,Business & Industrial,"CNC, Metalworking & Manufacturing",,,,,11804,2,Parent,"Business & Industrial > CNC, Metalworking & Manufacturing","CNC, Metalworking & Manufacturing",Term Based BN?
666,0,US,Business & Industrial,Cleaning & Janitorial Supplies,,,,,46534,2,Parent,Business & Industrial > Cleaning & Janitorial Supplies,Cleaning & Janitorial Supplies,Term Based BN?
1366,0,US,Business & Industrial,Electrical Equipment & Supplies,,,,,92074,2,Parent,Business & Industrial > Electrical Equipment & Supplies,Electrical Equipment & Supplies,Term Based BN?
1527,0,US,Business & Industrial,Facility Maintenance & Safety,,,,,11897,2,Parent,Business & Industrial > Facility Maintenance & Safety,Facility Maintenance & Safety,Term Based BN?
1676,0,US,Business & Industrial,Fasteners & Hardware,,,,,183900,2,Parent,Business & Industrial > Fasteners & Hardware,Industrial Fasteners & Hardware,Term Based BN?
1727,0,US,Business & Industrial,Fuel & Energy,,,,,159693,2,Parent,Business & Industrial > Fuel & Energy,Industrial Fuel & Energy Equipment,Term Based BN?
2169,0,US,Business & Industrial,HVAC & Refrigeration,,,,,42909,2,Parent,Business & Industrial > HVAC & Refrigeration,HVAC & Refrigeration,Term Based BN?
1746,0,US,Business & Industrial,"Healthcare, Lab & Dental",,,,,11815,2,Parent,"Business & Industrial > Healthcare, Lab & Dental","Healthcare, Lab & Dental",Term Based BN?
2034,0,US,Business & Industrial,"Heavy Equipment, Parts & Attachments",,,,,257887,2,Parent,"Business & Industrial > Heavy Equipment, Parts & Attachments","Heavy Equipment, Parts & Attachments",Term Based BN?
2299,0,US,Business & Industrial,"Hydraulics, Pneumatics, Pumps & Plumbing",,,,,183978,2,Parent,"Business & Industrial > Hydraulics, Pneumatics, Pumps & Plumbing","Hydraulics, Pneumatics, Pumps & Plumbing",Term Based BN?
2447,0,US,Business & Industrial,Industrial Automation & Motion Controls,,,,,42892,2,Parent,Business & Industrial > Industrial Automation & Motion Controls,Industrial Automation & Motion Controls,Term Based BN?
2605,0,US,Business & Industrial,Light Equipment & Tools,,,,,61573,2,Parent,Business & Industrial > Light Equipment & Tools,Light Industrial Equipment & Tools,Term Based BN?
2708,0,US,Business & Industrial,Material Handling,,,,,26221,2,Parent,Business & Industrial > Material Handling,Material Handling,Term Based BN?
2885,0,US,Business & Industrial,Office,,,,,25298,2,Parent,Business & Industrial > Office,Office Equipment & Supplies,Term Based BN?
3025,0,US,Business & Industrial,Printing & Graphic Arts,,,,,26238,2,Parent,Business & Industrial > Printing & Graphic Arts,Printing & Graphic Arts,Term Based BN?
3079,0,US,Business & Industrial,Restaurant & Food Service,,,,,11874,2,Parent,Business & Industrial > Restaurant & Food Service,Restaurant & Food Service,Term Based BN?
3482,0,US,Business & Industrial,Retail & Services,,,,,11890,2,Parent,Business & Industrial > Retail & Services,Retail & Services,Term Based BN?
3553,0,US,Business & Industrial,"Test, Measurement & Inspection",,,,,181939,2,Parent,"Business & Industrial > Test, Measurement & Inspection","Test, Measurement & Inspection Equipment",Term Based BN?
3686,0,US,Business & Industrial,Websites & Businesses for Sale,,,,,11759,2,Parent,Business & Industrial > Websites & Businesses for Sale,Websites & Businesses for Sale,Term Based BN?
3698,0,US,Cameras & Photo,Binoculars & Telescopes,,,,,28179,2,Parent,Cameras & Photo > Binoculars & Telescopes,Binoculars & Telescopes,Term Based BN?
3712,0,US,Cameras & Photo,"Camera, Drone & Photo Accessories",,,,,15200,2,Parent,"Cameras & Photo > Camera, Drone & Photo Accessories","Camera, Drone & Photo Accessories",Term Based BN?
3742,0,US,Cameras & Photo,Film Photography,,,,,69323,2,Parent,Cameras & Photo > Film Photography,Film Photography Equipment,Term Based BN?
3773,0,US,Cameras & Photo,Flashes & Flash Accessories,,,,,64353,2,Parent,Cameras & Photo > Flashes & Flash Accessories,Camera Flashes & Flash Accessories,Term Based BN?
3780,0,US,Cameras & Photo,Lenses & Filters,,,,,78997,2,Parent,Cameras & Photo > Lenses & Filters,Camera Lenses & Filters,Term Based BN?
3789,0,US,Cameras & Photo,Lighting & Studio,,,,,30078,2,Parent,Cameras & Photo > Lighting & Studio,Photo Studio & Lighting Equipment,Term Based BN?
3815,0,US,Cameras & Photo,Replacement Parts & Tools,,,,,182074,2,Parent,Cameras & Photo > Replacement Parts & Tools,Camera Replacement Parts & Tools,Term Based BN?
3821,0,US,Cameras & Photo,Tripods & Supports,,,,,30090,2,Parent,Cameras & Photo > Tripods & Supports,Camera Tripods & Supports,Term Based BN?
3826,0,US,Cameras & Photo,Video Production & Editing,,,,,21162,2,Parent,Cameras & Photo > Video Production & Editing,Video Production & Editing Equipment,Term Based BN?
3841,0,US,Cameras & Photo,Vintage Movie & Photography,,,,,3326,2,Parent,Cameras & Photo > Vintage Movie & Photography,Vintage Movie & Photography Equipment,Term Based BN?
3872,0,US,Cell Phones & Accessories,Cell Phone Accessories,,,,,9394,2,Parent,Cell Phones & Accessories > Cell Phone Accessories,Cell Phone Accessories,Term Based BN?
3897,0,US,Cell Phones & Accessories,Phone Cards & SIM Cards,,,,,146492,2,Parent,Cell Phones & Accessories > Phone Cards & SIM Cards,Cell Phone Cards & SIM Cards,Term Based BN?
3866,0,US,Cell Phones & Accessories,Smart Watch Accessories,,,,,182064,2,Parent,Cell Phones & Accessories > Smart Watch Accessories,Smart Watch Accessories,Term Based BN?
4125,0,US,"Clothing, Shoes & Accessories",Baby,,,,,260018,2,Parent,"Clothing, Shoes & Accessories > Baby","Baby Clothing, Shoes & Accessories",Term Based BN?
4026,0,US,"Clothing, Shoes & Accessories",Kids,,,,,171146,2,Parent,"Clothing, Shoes & Accessories > Kids","Kids' Clothing, Shoes & Accessories",Term Based BN?
3975,0,US,"Clothing, Shoes & Accessories",Men,,,,,260012,2,Parent,"Clothing, Shoes & Accessories > Men","Men's Clothing, Shoes & Accessories",Term Based BN?
4149,0,US,"Clothing, Shoes & Accessories",Specialty,,,,,260033,2,Parent,"Clothing, Shoes & Accessories > Specialty","Specialty Clothing, Shoes & Accessories",Term Based BN?
3905,0,US,"Clothing, Shoes & Accessories",Women,,,,,260010,2,Parent,"Clothing, Shoes & Accessories > Women","Women's Clothing, Shoes & Accessories",Term Based BN?
4422,0,US,Coins & Paper Money,Bullion,,,,,39482,2,Parent,Coins & Paper Money > Bullion,Bullion,Term Based BN?
4561,0,US,Coins & Paper Money,Coins: Ancient,,,,,4733,2,Parent,Coins & Paper Money > Coins: Ancient,Ancient Coins,Term Based BN?
4543,0,US,Coins & Paper Money,Coins: Canada,,,,,3377,2,Parent,Coins & Paper Money > Coins: Canada,Canadian Coins,Term Based BN?
4568,0,US,Coins & Paper Money,Coins: Medieval,,,,,18466,2,Parent,Coins & Paper Money > Coins: Medieval,Medieval Coins,Term Based BN?
4441,0,US,Coins & Paper Money,Coins: US,,,,,253,2,Parent,Coins & Paper Money > Coins: US,US Coins,Term Based BN?
4575,0,US,Coins & Paper Money,Coins: World,,,,,256,2,Parent,Coins & Paper Money > Coins: World,World Coins,Term Based BN?
4769,0,US,Coins & Paper Money,Exonumia,,,,,3452,2,Parent,Coins & Paper Money > Exonumia,Exonumia,Term Based BN?
4791,0,US,Coins & Paper Money,Paper Money: US,,,,,3412,2,Parent,Coins & Paper Money > Paper Money: US,US Paper Money,Term Based BN?
4819,0,US,Coins & Paper Money,Paper Money: World,,,,,3411,2,Parent,Coins & Paper Money > Paper Money: World,World Paper Money,Term Based BN?
4930,0,US,Coins & Paper Money,Publications & Supplies,,,,,83274,2,Parent,Coins & Paper Money > Publications & Supplies,Coin & Paper Money Publications & Supplies,Term Based BN?
4942,0,US,Coins & Paper Money,"Stocks & Bonds, Scripophily",,,,,3444,2,Parent,"Coins & Paper Money > Stocks & Bonds, Scripophily",Stocks & Bonds,Term Based BN?
4967,0,US,Coins & Paper Money,Virtual Currency,,,,,179197,2,Parent,Coins & Paper Money > Virtual Currency,Virtual Currency,Term Based BN?
4971,0,US,Collectibles,Advertising,,,,,34,2,Parent,Collectibles > Advertising,Collectible Advertising,Term Based BN?
5422,0,US,Collectibles,Animals,,,,,1335,2,Parent,Collectibles > Animals,Animal Collectibles,Term Based BN?
5748,0,US,Collectibles,Animation Art & Merchandise,,,,,13658,2,Parent,Collectibles > Animation Art & Merchandise,Collectible Animation Art & Merchandise,Term Based BN?
5773,0,US,Collectibles,"Arcade, Jukeboxes & Pinball",,,,,66502,2,Parent,"Collectibles > Arcade, Jukeboxes & Pinball","Arcade, Jukebox & Pinball Collectibles",Term Based BN?
5796,0,US,Collectibles,Autographs,,,,,14429,2,Parent,Collectibles > Autographs,Collectible Autographs,Term Based BN?
5813,0,US,Collectibles,Baby & Nursery,,,,,261595,2,Parent,Collectibles > Baby & Nursery,Collectible Baby & Nursery,Term Based BN?
5816,0,US,Collectibles,"Banks, Registers & Vending",,,,,66503,2,Parent,"Collectibles > Banks, Registers & Vending","Bank, Register & Vending Collectibles",Term Based BN?
5842,0,US,Collectibles,Beads,,,,,156277,2,Parent,Collectibles > Beads,Collectible Beads,Term Based BN?
5848,0,US,Collectibles,Bottles & Insulators,,,,,29797,2,Parent,Collectibles > Bottles & Insulators,Collectible Bottles & Insulators,Term Based BN?
5888,0,US,Collectibles,"Breweriana, Beer",,,,,562,2,Parent,"Collectibles > Breweriana, Beer",Breweriana & Beer Collectibles,Term Based BN?
5956,0,US,Collectibles,Casino,,,,,898,2,Parent,Collectibles > Casino,Casino Collectibles,Term Based BN?
6015,0,US,Collectibles,Collectible Figures & Supplies,,,,,263076,2,Parent,Collectibles > Collectible Figures & Supplies,Collectible Figures & Supplies,Term Based BN?
6024,0,US,Collectibles,Comic Books & Memorabilia,,,,,63,2,Parent,Collectibles > Comic Books & Memorabilia,"Comic Books, Manga & Memorabilia",Term Based BN?
6064,0,US,Collectibles,Cultures & Ethnicities,,,,,3913,2,Parent,Collectibles > Cultures & Ethnicities,Ethnic & Cultural Collectibles,Term Based BN?
6244,0,US,Collectibles,Decorative Collectibles,,,,,13777,2,Parent,Collectibles > Decorative Collectibles,Decorative Collectibles,Term Based BN?
6293,0,US,Collectibles,Disneyana,,,,,137,2,Parent,Collectibles > Disneyana,Disneyana,Term Based BN?
6442,0,US,Collectibles,"Fantasy, Mythical & Magic",,,,,10860,2,Parent,"Collectibles > Fantasy, Mythical & Magic","Fantasy, Mythical & Magic Collectibles",Term Based BN?
6492,0,US,Collectibles,Historical Memorabilia,,,,,259135,2,Parent,Collectibles > Historical Memorabilia,Collectible Historical Memorabilia,Term Based BN?
6784,0,US,Collectibles,Holiday & Seasonal,,,,,907,2,Parent,Collectibles > Holiday & Seasonal,Holiday & Seasonal Collectibles,Term Based BN?
6814,0,US,Collectibles,Kitchen & Home,,,,,13905,2,Parent,Collectibles > Kitchen & Home,Kitchen & Home Collectibles,Term Based BN?
6931,0,US,Collectibles,"Knives, Swords & Blades",,,,,1401,2,Parent,"Collectibles > Knives, Swords & Blades","Collectible Knives, Swords, Blades, Armors & Accessories",Term Based BN?
6975,0,US,Collectibles,"Lamps, Lighting",,,,,1404,2,Parent,"Collectibles > Lamps, Lighting",Collectible Lighting & Lamps,Term Based BN?
6984,0,US,Collectibles,Linens & Textiles,,,,,261716,2,Parent,Collectibles > Linens & Textiles,Collectible Linens & Textiles,Term Based BN?
7018,0,US,Collectibles,Metalware,,,,,1430,2,Parent,Collectibles > Metalware,Collectible Metalware,Term Based BN?
7031,0,US,Collectibles,Militaria,,,,,13956,2,Parent,Collectibles > Militaria,Militaria,Term Based BN?
7339,0,US,Collectibles,"Non-Sport Stickers, Collections & Albums",,,,,262344,2,Parent,"Collectibles > Non-Sport Stickers, Collections & Albums","Collectible Non-Sport Stickers, Collections & Albums",Term Based BN?
7347,0,US,Collectibles,Non-Sport Trading Cards,,,,,182982,2,Parent,Collectibles > Non-Sport Trading Cards,Non-Sport Trading Cards & Accessories,Term Based BN?
7368,0,US,Collectibles,Paper,,,,,124,2,Parent,Collectibles > Paper,Paper Collectibles,Term Based BN?
7446,0,US,Collectibles,Pens & Writing Instruments,,,,,966,2,Parent,Collectibles > Pens & Writing Instruments,Collectible Pens & Writing Instruments,Term Based BN?
7526,0,US,Collectibles,"Pez, Keychains, Promo Glasses",,,,,14005,2,Parent,"Collectibles > Pez, Keychains, Promo Glasses","Collectible Pez, Keychains & Promo Glasses",Term Based BN?
7544,0,US,Collectibles,Photographic Images,,,,,262413,2,Parent,Collectibles > Photographic Images,Collectible Photographic Images,Term Based BN?
7551,0,US,Collectibles,Pinbacks & Lunchboxes,,,,,39507,2,Parent,Collectibles > Pinbacks & Lunchboxes,Collectible Pinbacks & Lunchboxes,Term Based BN?
7599,0,US,Collectibles,Postcards & Supplies,,,,,914,2,Parent,Collectibles > Postcards & Supplies,Collectible Postcards & Supplies,Term Based BN?
7605,0,US,Collectibles,"Radio, Phonograph, TV, Phone",,,,,29832,2,Parent,"Collectibles > Radio, Phonograph, TV, Phone","Radio, Phonograph, TV & Phone Collectibles",Term Based BN?
7631,0,US,Collectibles,Religion & Spirituality,,,,,1446,2,Parent,Collectibles > Religion & Spirituality,Religion & Spirituality Collectibles,Term Based BN?
7702,0,US,Collectibles,"Rocks, Fossils & Minerals",,,,,3213,2,Parent,"Collectibles > Rocks, Fossils & Minerals","Rocks, Fossils & Minerals",Term Based BN?
7820,0,US,Collectibles,Science & Medicine (1930-Now),,,,,412,2,Parent,Collectibles > Science & Medicine (1930-Now),Science & Medicine Collectibles (1930-Now),Term Based BN?
7775,0,US,Collectibles,Science Fiction & Horror,,,,,152,2,Parent,Collectibles > Science Fiction & Horror,Sci-Fi & Horror Collectibles,Term Based BN?
7851,0,US,Collectibles,Sewing (1930-Now),,,,,113,2,Parent,Collectibles > Sewing (1930-Now),Sewing Collectibles (1930-Now),Term Based BN?
7895,0,US,Collectibles,Souvenirs & Travel Memorabilia,,,,,165800,2,Parent,Collectibles > Souvenirs & Travel Memorabilia,Travel Souvenirs & Memorabilia,Term Based BN?
7975,0,US,Collectibles,Tobacciana,,,,,593,2,Parent,Collectibles > Tobacciana,Tobacciana,Term Based BN?
8048,0,US,Collectibles,"Tools, Hardware & Locks",,,,,13849,2,Parent,"Collectibles > Tools, Hardware & Locks","Collectible Tools, Hardware & Locks",Term Based BN?
8078,0,US,Collectibles,Transportation,,,,,417,2,Parent,Collectibles > Transportation,Transportation Collectibles,Term Based BN?
8407,0,US,Collectibles,"Vanity, Perfume & Shaving",,,,,597,2,Parent,"Collectibles > Vanity, Perfume & Shaving","Vanity, Perfume & Shaving Collectibles",Term Based BN?
8442,0,US,Collectibles,"Vintage, Retro, Mid-Century",,,,,69851,2,Parent,"Collectibles > Vintage, Retro, Mid-Century","Vintage, Retro & Mid-Century Collectibles",Term Based BN?
8451,0,US,Collectibles,Wholesale Lots,,,,,45058,2,Parent,Collectibles > Wholesale Lots,Collectibles Wholesale Lots,Term Based BN?
8460,0,US,Computers/Tablets & Networking,3D Printers & Supplies,,,,,183062,2,Parent,Computers/Tablets & Networking > 3D Printers & Supplies,3D Printers & Supplies,Term Based BN?
8518,0,US,Computers/Tablets & Networking,Computer Cables & Connectors,,,,,182094,2,Parent,Computers/Tablets & Networking > Computer Cables & Connectors,Computer Cables & Connectors,Term Based BN?
8540,0,US,Computers/Tablets & Networking,Computer Components & Parts,,,,,175673,2,Parent,Computers/Tablets & Networking > Computer Components & Parts,Computer Components & Parts,Term Based BN?
8486,0,US,Computers/Tablets & Networking,Desktops & All-In-Ones,,,,,171957,2,Parent,Computers/Tablets & Networking > Desktops & All-In-Ones,Desktops & All-In-One Computers,Term Based BN?
8581,0,US,Computers/Tablets & Networking,"Drives, Storage & Blank Media",,,,,165,2,Parent,"Computers/Tablets & Networking > Drives, Storage & Blank Media","Computer Drives, Storage & Blank Media",Term Based BN?
8605,0,US,Computers/Tablets & Networking,"Enterprise Networking, Servers",,,,,175698,2,Parent,"Computers/Tablets & Networking > Enterprise Networking, Servers",Enterprise Networking & Servers,Term Based BN?
8651,0,US,Computers/Tablets & Networking,Home Networking & Connectivity,,,,,11176,2,Parent,Computers/Tablets & Networking > Home Networking & Connectivity,Home Network & Connectivity Equipment,Term Based BN?
8665,0,US,Computers/Tablets & Networking,"Keyboards, Mice & Pointers",,,,,3676,2,Parent,"Computers/Tablets & Networking > Keyboards, Mice & Pointers","Computer Keyboards, Mice & Pointers",Term Based BN?
8489,0,US,Computers/Tablets & Networking,Laptop & Desktop Accessories,,,,,31530,2,Parent,Computers/Tablets & Networking > Laptop & Desktop Accessories,Laptop & Desktop Accessories,Term Based BN?
8483,0,US,Computers/Tablets & Networking,Laptops & Netbooks,,,,,175672,2,Parent,Computers/Tablets & Networking > Laptops & Netbooks,Laptops & Netbooks,Term Based BN?
8672,0,US,Computers/Tablets & Networking,"Monitors, Projectors & Accs",,,,,162497,2,Parent,"Computers/Tablets & Networking > Monitors, Projectors & Accs","Computer Monitors, Projectors & Accessories",Term Based BN?
8681,0,US,Computers/Tablets & Networking,"Power Protection, Distribution",,,,,86722,2,Parent,"Computers/Tablets & Networking > Power Protection, Distribution",Computer Power Protection & Distribution Equipment,Term Based BN?
8688,0,US,Computers/Tablets & Networking,"Printers, Scanners & Supplies",,,,,171961,2,Parent,"Computers/Tablets & Networking > Printers, Scanners & Supplies","Computer Printers, Scanners & Supplies",Term Based BN?
8712,0,US,Computers/Tablets & Networking,Software,,,,,18793,2,Parent,Computers/Tablets & Networking > Software,Computer Software,Term Based BN?
8469,0,US,Computers/Tablets & Networking,Tablet & eBook Reader Accs,,,,,176970,2,Parent,Computers/Tablets & Networking > Tablet & eBook Reader Accs,Tablet & eReader Accessories,Term Based BN?
8725,0,US,Computers/Tablets & Networking,Vintage Computing,,,,,11189,2,Parent,Computers/Tablets & Networking > Vintage Computing,"Vintage Computers, Parts & Accessories",Term Based BN?
8944,0,US,Consumer Electronics,Home Telephones & Accessories,,,,,3286,2,Parent,Consumer Electronics > Home Telephones & Accessories,Home Telephones & Accessories,Term Based BN?
8955,0,US,Consumer Electronics,Multipurpose Batteries & Power,,,,,48446,2,Parent,Consumer Electronics > Multipurpose Batteries & Power,Multipurpose Batteries & Power,Term Based BN?
8770,0,US,Consumer Electronics,Portable Audio & Headphones,,,,,15052,2,Parent,Consumer Electronics > Portable Audio & Headphones,Portable Audio & Headphones,Term Based BN?
8965,0,US,Consumer Electronics,Radio Communication,,,,,1500,2,Parent,Consumer Electronics > Radio Communication,Radio Communication Electronics,Term Based BN?
8733,0,US,Consumer Electronics,Surveillance & Smart Home Electronics,,,,,185067,2,Parent,Consumer Electronics > Surveillance & Smart Home Electronics,Surveillance & Smart Home Electronics,Term Based BN?
8797,0,US,Consumer Electronics,"TV, Video & Home Audio",,,,,32852,2,Parent,"Consumer Electronics > TV, Video & Home Audio","TV, Video & Home Audio Electronics",Term Based BN?
8885,0,US,Consumer Electronics,Vehicle Electronics & GPS,,,,,3270,2,Parent,Consumer Electronics > Vehicle Electronics & GPS,Vehicle Electronics & GPS,Term Based BN?
9004,0,US,Consumer Electronics,Vintage Electronics,,,,,183077,2,Parent,Consumer Electronics > Vintage Electronics,Vintage Electronics,Term Based BN?
8762,0,US,Consumer Electronics,Virtual Reality,,,,,183067,2,Parent,Consumer Electronics > Virtual Reality,"Virtual Reality Headsets, Parts & Accessories",Term Based BN?
9035,0,US,Crafts,Art Supplies,,,,,11783,2,Parent,Crafts > Art Supplies,Art Supplies,Term Based BN?
9100,0,US,Crafts,Beads & Jewelry Making,,,,,31723,2,Parent,Crafts > Beads & Jewelry Making,Beads & Jewelry Making Supplies,Term Based BN?
9142,0,US,Crafts,Fabric Painting & Decorating,,,,,183118,2,Parent,Crafts > Fabric Painting & Decorating,Fabric Painting & Decorating Supplies,Term Based BN?
9151,0,US,Crafts,Glass & Mosaics,,,,,163778,2,Parent,Crafts > Glass & Mosaics,Craft Glass & Mosaics,Term Based BN?
9172,0,US,Crafts,Handcrafted & Finished Pieces,,,,,71183,2,Parent,Crafts > Handcrafted & Finished Pieces,Handcrafted & Finished Pieces,Term Based BN?
