order_no,SITE_ID,SITE,L1,L2,L3,L4,L5,L6,Cat ID,Level,Parent / Leaf,Breadcrumb,Category Friendly Name,BN Title,CFN / BNT Misaligned?,Sheet_Label,Term Based BN?
1,100,US Motors,eBay Motors,,,,,,6000,1,Parent,eBay Motors,eBay Motors, ,  ,Term Based BN?,  
2,100,US Motors,eBay Motors,Cars & Trucks,,,,,6001,2,Parent,eBay Motors > Cars & Trucks,Cars & Trucks, ,  ,Term Based BN?,  
3,100,US Motors,eBay Motors,Cars & Trucks,Acura,,,,5330,3,Parent,eBay Motors > Cars & Trucks > Acura,Acura Cars & Trucks, ,  ,Term Based BN?,  
4,100,US Motors,eBay Motors,Cars & Trucks,Acura,CL,,,5332,4,Leaf,eBay Motors > Cars & Trucks > Acura > CL,Acura CL, ,  ,Term Based BN?,  
5,100,US Motors,eBay Motors,Cars & Trucks,Acura,ILX,,,177667,4,Leaf,eBay Motors > Cars & Trucks > Acura > ILX,Acura ILX, ,  ,Term Based BN?,  
6,100,US Motors,eBay Motors,Cars & Trucks,Acura,Integra,,,5335,4,Leaf,eBay Motors > Cars & Trucks > Acura > Integra,Acura Integra, ,  ,Term Based BN?,  
7,100,US Motors,eBay Motors,Cars & Trucks,Acura,Legend,,,5336,4,Leaf,eBay Motors > Cars & Trucks > Acura > Legend,Acura Legend, ,  ,Term Based BN?,  
8,100,US Motors,eBay Motors,Cars & Trucks,Acura,MDX,,,42600,4,Leaf,eBay Motors > Cars & Trucks > Acura > MDX,Acura MDX, ,  ,Term Based BN?,  
9,100,US Motors,eBay Motors,Cars & Trucks,Acura,NSX,,,5337,4,Leaf,eBay Motors > Cars & Trucks > Acura > NSX,Acura NSX, ,  ,Term Based BN?,  
10,100,US Motors,eBay Motors,Cars & Trucks,Acura,RDX,,,157037,4,Leaf,eBay Motors > Cars & Trucks > Acura > RDX,Acura RDX, ,  ,Term Based BN?,  
11,100,US Motors,eBay Motors,Cars & Trucks,Acura,RL,,,5334,4,Leaf,eBay Motors > Cars & Trucks > Acura > RL,Acura RL, ,  ,Term Based BN?,  
12,100,US Motors,eBay Motors,Cars & Trucks,Acura,RLX,,,184384,4,Leaf,eBay Motors > Cars & Trucks > Acura > RLX,Acura RLX, ,  ,Term Based BN?,  
13,100,US Motors,eBay Motors,Cars & Trucks,Acura,RSX,,,31827,4,Leaf,eBay Motors > Cars & Trucks > Acura > RSX,Acura RSX, ,  ,Term Based BN?,  
14,100,US Motors,eBay Motors,Cars & Trucks,Acura,SLX,,,5331,4,Leaf,eBay Motors > Cars & Trucks > Acura > SLX,Acura SLX, ,  ,Term Based BN?,  
15,100,US Motors,eBay Motors,Cars & Trucks,Acura,TL,,,5333,4,Leaf,eBay Motors > Cars & Trucks > Acura > TL,Acura TL, ,  ,Term Based BN?,  
16,100,US Motors,eBay Motors,Cars & Trucks,Acura,TLX,,,180241,4,Leaf,eBay Motors > Cars & Trucks > Acura > TLX,Acura TLX, ,  ,Term Based BN?,  
17,100,US Motors,eBay Motors,Cars & Trucks,Acura,TSX,,,84153,4,Leaf,eBay Motors > Cars & Trucks > Acura > TSX,Acura TSX, ,  ,Term Based BN?,  
18,100,US Motors,eBay Motors,Cars & Trucks,Acura,Vigor,,,5338,4,Leaf,eBay Motors > Cars & Trucks > Acura > Vigor,Acura Vigor, ,  ,Term Based BN?,  
19,100,US Motors,eBay Motors,Cars & Trucks,Acura,ZDX,,,171085,4,Leaf,eBay Motors > Cars & Trucks > Acura > ZDX,Acura ZDX, ,  ,Term Based BN?,  
20,100,US Motors,eBay Motors,Cars & Trucks,Acura,Other,,,5339,4,Leaf,eBay Motors > Cars & Trucks > Acura > Other,Other Acura Cars & Trucks, ,  ,Term Based BN?,  
21,100,US Motors,eBay Motors,Cars & Trucks,Alfa Romeo,,,,5340,3,Parent,eBay Motors > Cars & Trucks > Alfa Romeo,Alfa Romeo Cars & Trucks, ,  ,Term Based BN?,  
22,100,US Motors,eBay Motors,Cars & Trucks,Alfa Romeo,164,,,175851,4,Leaf,eBay Motors > Cars & Trucks > Alfa Romeo > 164,Alfa Romeo 164, ,  ,Term Based BN?,  
23,100,US Motors,eBay Motors,Cars & Trucks,Alfa Romeo,4C,,,183556,4,Leaf,eBay Motors > Cars & Trucks > Alfa Romeo > 4C,Alfa Romeo 4C, ,  ,Term Based BN?,  
24,100,US Motors,eBay Motors,Cars & Trucks,Alfa Romeo,8C,,,175852,4,Leaf,eBay Motors > Cars & Trucks > Alfa Romeo > 8C,Alfa Romeo 8C, ,  ,Term Based BN?,  
25,100,US Motors,eBay Motors,Cars & Trucks,Alfa Romeo,Giulia,,,184385,4,Leaf,eBay Motors > Cars & Trucks > Alfa Romeo > Giulia,Alfa Romeo Giulia, ,  ,Term Based BN?,  
26,100,US Motors,eBay Motors,Cars & Trucks,Alfa Romeo,GTV,,,179854,4,Leaf,eBay Motors > Cars & Trucks > Alfa Romeo > GTV,Alfa Romeo GTV, ,  ,Term Based BN?,  
27,100,US Motors,eBay Motors,Cars & Trucks,Alfa Romeo,Milano,,,179855,4,Leaf,eBay Motors > Cars & Trucks > Alfa Romeo > Milano,Alfa Romeo Milano, ,  ,Term Based BN?,  
28,100,US Motors,eBay Motors,Cars & Trucks,Alfa Romeo,Montreal,,,179856,4,Leaf,eBay Motors > Cars & Trucks > Alfa Romeo > Montreal,Alfa Romeo Montreal, ,  ,Term Based BN?,  
29,100,US Motors,eBay Motors,Cars & Trucks,Alfa Romeo,Spider,,,84154,4,Leaf,eBay Motors > Cars & Trucks > Alfa Romeo > Spider,Alfa Romeo Spider, ,  ,Term Based BN?,  
30,100,US Motors,eBay Motors,Cars & Trucks,Alfa Romeo,Other,,,5356,4,Leaf,eBay Motors > Cars & Trucks > Alfa Romeo > Other,Other Alfa Romeo Cars & Trucks, ,  ,Term Based BN?,  
31,100,US Motors,eBay Motors,Cars & Trucks,AMC,,,,180046,3,Parent,eBay Motors > Cars & Trucks > AMC,AMC Cars & Trucks, ,  ,Term Based BN?,  
32,100,US Motors,eBay Motors,Cars & Trucks,AMC,AMX,,,180047,4,Leaf,eBay Motors > Cars & Trucks > AMC > AMX,AMC AMX, ,  ,Term Based BN?,  
33,100,US Motors,eBay Motors,Cars & Trucks,AMC,Gremlin,,,180048,4,Leaf,eBay Motors > Cars & Trucks > AMC > Gremlin,AMC Gremlin, ,  ,Term Based BN?,  
34,100,US Motors,eBay Motors,Cars & Trucks,AMC,Hornet,,,180049,4,Leaf,eBay Motors > Cars & Trucks > AMC > Hornet,AMC Hornet, ,  ,Term Based BN?,  
35,100,US Motors,eBay Motors,Cars & Trucks,AMC,Javelin,,,180050,4,Leaf,eBay Motors > Cars & Trucks > AMC > Javelin,AMC Javelin, ,  ,Term Based BN?,  
36,100,US Motors,eBay Motors,Cars & Trucks,AMC,Pacer,,,179866,4,Leaf,eBay Motors > Cars & Trucks > AMC > Pacer,AMC Pacer, ,  ,Term Based BN?,  
37,100,US Motors,eBay Motors,Cars & Trucks,AMC,Other,,,180051,4,Leaf,eBay Motors > Cars & Trucks > AMC > Other,Other AMC Cars & Trucks, ,  ,Term Based BN?,  
38,100,US Motors,eBay Motors,Cars & Trucks,Ariel,,,,171997,3,Leaf,eBay Motors > Cars & Trucks > Ariel,Ariel Cars & Trucks, ,  ,Term Based BN?,  
39,100,US Motors,eBay Motors,Cars & Trucks,Aston Martin,,,,157054,3,Parent,eBay Motors > Cars & Trucks > Aston Martin,Aston Martin Cars & Trucks, ,  ,Term Based BN?,  
40,100,US Motors,eBay Motors,Cars & Trucks,Aston Martin,DB7,,,157055,4,Leaf,eBay Motors > Cars & Trucks > Aston Martin > DB7,Aston Martin DB7, ,  ,Term Based BN?,  
41,100,US Motors,eBay Motors,Cars & Trucks,Aston Martin,DB9,,,157056,4,Leaf,eBay Motors > Cars & Trucks > Aston Martin > DB9,Aston Martin DB9, ,  ,Term Based BN?,  
42,100,US Motors,eBay Motors,Cars & Trucks,Aston Martin,DB11,,,184386,4,Leaf,eBay Motors > Cars & Trucks > Aston Martin > DB11,Aston Martin DB11, ,  ,Term Based BN?,  
43,100,US Motors,eBay Motors,Cars & Trucks,Aston Martin,DBS,,,162304,4,Leaf,eBay Motors > Cars & Trucks > Aston Martin > DBS,Aston Martin DBS, ,  ,Term Based BN?,  
44,100,US Motors,eBay Motors,Cars & Trucks,Aston Martin,Rapide,,,180523,4,Leaf,eBay Motors > Cars & Trucks > Aston Martin > Rapide,Aston Martin Rapide, ,  ,Term Based BN?,  
45,100,US Motors,eBay Motors,Cars & Trucks,Aston Martin,Vanquish,,,157058,4,Leaf,eBay Motors > Cars & Trucks > Aston Martin > Vanquish,Aston Martin Vanquish, ,  ,Term Based BN?,  
46,100,US Motors,eBay Motors,Cars & Trucks,Aston Martin,Vantage,,,157057,4,Leaf,eBay Motors > Cars & Trucks > Aston Martin > Vantage,Aston Martin Vantage, ,  ,Term Based BN?,  
47,100,US Motors,eBay Motors,Cars & Trucks,Aston Martin,Other,,,5358,4,Leaf,eBay Motors > Cars & Trucks > Aston Martin > Other,Other Aston Martin Cars & Trucks, ,  ,Term Based BN?,  
48,100,US Motors,eBay Motors,Cars & Trucks,Audi,,,,6002,3,Parent,eBay Motors > Cars & Trucks > Audi,Audi Cars & Trucks, ,  ,Term Based BN?,  
49,100,US Motors,eBay Motors,Cars & Trucks,Audi,80,,,175853,4,Leaf,eBay Motors > Cars & Trucks > Audi > 80,Audi 80, ,  ,Term Based BN?,  
50,100,US Motors,eBay Motors,Cars & Trucks,Audi,90,,,157039,4,Leaf,eBay Motors > Cars & Trucks > Audi > 90,Audi 90, ,  ,Term Based BN?,  
51,100,US Motors,eBay Motors,Cars & Trucks,Audi,100,,,157038,4,Leaf,eBay Motors > Cars & Trucks > Audi > 100,Audi 100, ,  ,Term Based BN?,  
52,100,US Motors,eBay Motors,Cars & Trucks,Audi,A3,,,147117,4,Leaf,eBay Motors > Cars & Trucks > Audi > A3,Audi A3, ,  ,Term Based BN?,  
53,100,US Motors,eBay Motors,Cars & Trucks,Audi,A4,,,6003,4,Leaf,eBay Motors > Cars & Trucks > Audi > A4,Audi A4, ,  ,Term Based BN?,  
54,100,US Motors,eBay Motors,Cars & Trucks,Audi,A5,,,166867,4,Leaf,eBay Motors > Cars & Trucks > Audi > A5,Audi A5, ,  ,Term Based BN?,  
55,100,US Motors,eBay Motors,Cars & Trucks,Audi,A6,,,6004,4,Leaf,eBay Motors > Cars & Trucks > Audi > A6,Audi A6, ,  ,Term Based BN?,  
56,100,US Motors,eBay Motors,Cars & Trucks,Audi,A7,,,173649,4,Leaf,eBay Motors > Cars & Trucks > Audi > A7,Audi A7, ,  ,Term Based BN?,  
57,100,US Motors,eBay Motors,Cars & Trucks,Audi,A8,,,6005,4,Leaf,eBay Motors > Cars & Trucks > Audi > A8,Audi A8, ,  ,Term Based BN?,  
58,100,US Motors,eBay Motors,Cars & Trucks,Audi,Allroad,,,80731,4,Leaf,eBay Motors > Cars & Trucks > Audi > Allroad,Audi Allroad, ,  ,Term Based BN?,  
59,100,US Motors,eBay Motors,Cars & Trucks,Audi,Cabriolet,,,43901,4,Leaf,eBay Motors > Cars & Trucks > Audi > Cabriolet,Audi Cabriolet, ,  ,Term Based BN?,  
60,100,US Motors,eBay Motors,Cars & Trucks,Audi,Q5,,,170138,4,Leaf,eBay Motors > Cars & Trucks > Audi > Q5,Audi Q5, ,  ,Term Based BN?,  
61,100,US Motors,eBay Motors,Cars & Trucks,Audi,Q7,,,149414,4,Leaf,eBay Motors > Cars & Trucks > Audi > Q7,Audi Q7, ,  ,Term Based BN?,  
62,100,US Motors,eBay Motors,Cars & Trucks,Audi,R8,,,162291,4,Leaf,eBay Motors > Cars & Trucks > Audi > R8,Audi R8, ,  ,Term Based BN?,  
63,100,US Motors,eBay Motors,Cars & Trucks,Audi,RS4,,,150107,4,Leaf,eBay Motors > Cars & Trucks > Audi > RS4,Audi RS4, ,  ,Term Based BN?,  
64,100,US Motors,eBay Motors,Cars & Trucks,Audi,RS5,,,183557,4,Leaf,eBay Motors > Cars & Trucks > Audi > RS5,Audi RS5, ,  ,Term Based BN?,  
65,100,US Motors,eBay Motors,Cars & Trucks,Audi,RS6,,,150108,4,Leaf,eBay Motors > Cars & Trucks > Audi > RS6,Audi RS6, ,  ,Term Based BN?,  
66,100,US Motors,eBay Motors,Cars & Trucks,Audi,RS7,,,181459,4,Leaf,eBay Motors > Cars & Trucks > Audi > RS7,Audi RS7, ,  ,Term Based BN?,  
67,100,US Motors,eBay Motors,Cars & Trucks,Audi,S3,,,181460,4,Leaf,eBay Motors > Cars & Trucks > Audi > S3,Audi S3, ,  ,Term Based BN?,  
68,100,US Motors,eBay Motors,Cars & Trucks,Audi,S4,,,43902,4,Leaf,eBay Motors > Cars & Trucks > Audi > S4,Audi S4, ,  ,Term Based BN?,  
69,100,US Motors,eBay Motors,Cars & Trucks,Audi,S5,,,162292,4,Leaf,eBay Motors > Cars & Trucks > Audi > S5,Audi S5, ,  ,Term Based BN?,  
70,100,US Motors,eBay Motors,Cars & Trucks,Audi,S6,,,133181,4,Leaf,eBay Motors > Cars & Trucks > Audi > S6,Audi S6, ,  ,Term Based BN?,  
71,100,US Motors,eBay Motors,Cars & Trucks,Audi,S8,,,150109,4,Leaf,eBay Motors > Cars & Trucks > Audi > S8,Audi S8, ,  ,Term Based BN?,  
72,100,US Motors,eBay Motors,Cars & Trucks,Audi,SQ5,,,184387,4,Leaf,eBay Motors > Cars & Trucks > Audi > SQ5,Audi SQ5, ,  ,Term Based BN?,  
73,100,US Motors,eBay Motors,Cars & Trucks,Audi,TT,,,5345,4,Leaf,eBay Motors > Cars & Trucks > Audi > TT,Audi TT, ,  ,Term Based BN?,  
74,100,US Motors,eBay Motors,Cars & Trucks,Audi,Other,,,6055,4,Leaf,eBay Motors > Cars & Trucks > Audi > Other,Other Audi Cars & Trucks, ,  ,Term Based BN?,  
75,100,US Motors,eBay Motors,Cars & Trucks,Austin,,,,6126,3,Leaf,eBay Motors > Cars & Trucks > Austin,Austin Cars & Trucks, ,  ,Term Based BN?,  
76,100,US Motors,eBay Motors,Cars & Trucks,Austin Healey,,,,180052,3,Parent,eBay Motors > Cars & Trucks > Austin Healey,Austin Healey Cars & Trucks, ,  ,Term Based BN?,  
77,100,US Motors,eBay Motors,Cars & Trucks,Austin Healey,3000,,,180053,4,Leaf,eBay Motors > Cars & Trucks > Austin Healey > 3000,Austin Healey 3000, ,  ,Term Based BN?,  
78,100,US Motors,eBay Motors,Cars & Trucks,Austin Healey,Sprite,,,180054,4,Leaf,eBay Motors > Cars & Trucks > Austin Healey > Sprite,Austin Healey Sprite, ,  ,Term Based BN?,  
79,100,US Motors,eBay Motors,Cars & Trucks,Austin Healey,Other,,,180055,4,Leaf,eBay Motors > Cars & Trucks > Austin Healey > Other,Other Austin Healey Cars & Trucks, ,  ,Term Based BN?,  
80,100,US Motors,eBay Motors,Cars & Trucks,Bentley,,,,157059,3,Parent,eBay Motors > Cars & Trucks > Bentley,Bentley Cars & Trucks, ,  ,Term Based BN?,  
81,100,US Motors,eBay Motors,Cars & Trucks,Bentley,Arnage,,,157062,4,Leaf,eBay Motors > Cars & Trucks > Bentley > Arnage,Bentley Arnage, ,  ,Term Based BN?,  
82,100,US Motors,eBay Motors,Cars & Trucks,Bentley,Azure,,,162305,4,Leaf,eBay Motors > Cars & Trucks > Bentley > Azure,Bentley Azure, ,  ,Term Based BN?,  
83,100,US Motors,eBay Motors,Cars & Trucks,Bentley,Bentayga,,,184388,4,Leaf,eBay Motors > Cars & Trucks > Bentley > Bentayga,Bentley Bentayga, ,  ,Term Based BN?,  
84,100,US Motors,eBay Motors,Cars & Trucks,Bentley,Brooklands,,,162306,4,Leaf,eBay Motors > Cars & Trucks > Bentley > Brooklands,Bentley Brooklands, ,  ,Term Based BN?,  
85,100,US Motors,eBay Motors,Cars & Trucks,Bentley,Continental Flying Spur,,,157061,4,Leaf,eBay Motors > Cars & Trucks > Bentley > Continental Flying Spur,Bentley Continental Flying Spur, ,  ,Term Based BN?,  
86,100,US Motors,eBay Motors,Cars & Trucks,Bentley,Continental GT,,,157060,4,Leaf,eBay Motors > Cars & Trucks > Bentley > Continental GT,Bentley Continental GT, ,  ,Term Based BN?,  
87,100,US Motors,eBay Motors,Cars & Trucks,Bentley,Flying Spur,,,179668,4,Leaf,eBay Motors > Cars & Trucks > Bentley > Flying Spur,Bentley Flying Spur, ,  ,Term Based BN?,  
88,100,US Motors,eBay Motors,Cars & Trucks,Bentley,Mulsanne,,,171092,4,Leaf,eBay Motors > Cars & Trucks > Bentley > Mulsanne,Bentley Mulsanne, ,  ,Term Based BN?,  
89,100,US Motors,eBay Motors,Cars & Trucks,Bentley,Turbo R,,,157063,4,Leaf,eBay Motors > Cars & Trucks > Bentley > Turbo R,Bentley Turbo R, ,  ,Term Based BN?,  
90,100,US Motors,eBay Motors,Cars & Trucks,Bentley,Other,,,6118,4,Leaf,eBay Motors > Cars & Trucks > Bentley > Other,Other Bentley Cars & Trucks, ,  ,Term Based BN?,  
91,100,US Motors,eBay Motors,Cars & Trucks,BMW,,,,6006,3,Parent,eBay Motors > Cars & Trucks > BMW,BMW Cars & Trucks, ,  ,Term Based BN?,  
92,100,US Motors,eBay Motors,Cars & Trucks,BMW,2002,,,42601,4,Leaf,eBay Motors > Cars & Trucks > BMW > 2002,BMW 2002, ,  ,Term Based BN?,  
93,100,US Motors,eBay Motors,Cars & Trucks,BMW,1-Series,,,162293,4,Leaf,eBay Motors > Cars & Trucks > BMW > 1-Series,BMW 1-Series, ,  ,Term Based BN?,  
94,100,US Motors,eBay Motors,Cars & Trucks,BMW,2-Series,,,179857,4,Leaf,eBay Motors > Cars & Trucks > BMW > 2-Series,BMW 2-Series, ,  ,Term Based BN?,  
95,100,US Motors,eBay Motors,Cars & Trucks,BMW,3-Series,,,6007,4,Leaf,eBay Motors > Cars & Trucks > BMW > 3-Series,BMW 3-Series, ,  ,Term Based BN?,  
96,100,US Motors,eBay Motors,Cars & Trucks,BMW,4-Series,,,179858,4,Leaf,eBay Motors > Cars & Trucks > BMW > 4-Series,BMW 4-Series, ,  ,Term Based BN?,  
97,100,US Motors,eBay Motors,Cars & Trucks,BMW,5-Series,,,6008,4,Leaf,eBay Motors > Cars & Trucks > BMW > 5-Series,BMW 5-Series, ,  ,Term Based BN?,  
98,100,US Motors,eBay Motors,Cars & Trucks,BMW,6-Series,,,6129,4,Leaf,eBay Motors > Cars & Trucks > BMW > 6-Series,BMW 6-Series, ,  ,Term Based BN?,  
99,100,US Motors,eBay Motors,Cars & Trucks,BMW,7-Series,,,6009,4,Leaf,eBay Motors > Cars & Trucks > BMW > 7-Series,BMW 7-Series, ,  ,Term Based BN?,  
100,100,US Motors,eBay Motors,Cars & Trucks,BMW,8-Series,,,6130,4,Leaf,eBay Motors > Cars & Trucks > BMW > 8-Series,BMW 8-Series, ,  ,Term Based BN?,  
101,100,US Motors,eBay Motors,Cars & Trucks,BMW,i3,,,179655,4,Leaf,eBay Motors > Cars & Trucks > BMW > i3,BMW i3, ,  ,Term Based BN?,  
102,100,US Motors,eBay Motors,Cars & Trucks,BMW,i8,,,179656,4,Leaf,eBay Motors > Cars & Trucks > BMW > i8,BMW i8, ,  ,Term Based BN?,  
103,100,US Motors,eBay Motors,Cars & Trucks,BMW,M3,,,6131,4,Leaf,eBay Motors > Cars & Trucks > BMW > M3,BMW M3, ,  ,Term Based BN?,  
104,100,US Motors,eBay Motors,Cars & Trucks,BMW,M4,,,179657,4,Leaf,eBay Motors > Cars & Trucks > BMW > M4,BMW M4, ,  ,Term Based BN?,  
105,100,US Motors,eBay Motors,Cars & Trucks,BMW,M5,,,133182,4,Leaf,eBay Motors > Cars & Trucks > BMW > M5,BMW M5, ,  ,Term Based BN?,  
106,100,US Motors,eBay Motors,Cars & Trucks,BMW,M6,,,133183,4,Leaf,eBay Motors > Cars & Trucks > BMW > M6,BMW M6, ,  ,Term Based BN?,  
107,100,US Motors,eBay Motors,Cars & Trucks,BMW,M Roadster & Coupe,,,133184,4,Leaf,eBay Motors > Cars & Trucks > BMW > M Roadster & Coupe,BMW M Roadster & Coupe, ,  ,Term Based BN?,  
108,100,US Motors,eBay Motors,Cars & Trucks,BMW,X1,,,175854,4,Leaf,eBay Motors > Cars & Trucks > BMW > X1,BMW X1, ,  ,Term Based BN?,  
109,100,US Motors,eBay Motors,Cars & Trucks,BMW,X3,,,124116,4,Leaf,eBay Motors > Cars & Trucks > BMW > X3,BMW X3, ,  ,Term Based BN?,  
110,100,US Motors,eBay Motors,Cars & Trucks,BMW,X5,,,15282,4,Leaf,eBay Motors > Cars & Trucks > BMW > X5,BMW X5, ,  ,Term Based BN?,  
111,100,US Motors,eBay Motors,Cars & Trucks,BMW,X6,,,162294,4,Leaf,eBay Motors > Cars & Trucks > BMW > X6,BMW X6, ,  ,Term Based BN?,  
112,100,US Motors,eBay Motors,Cars & Trucks,BMW,Z3,,,36468,4,Leaf,eBay Motors > Cars & Trucks > BMW > Z3,BMW Z3, ,  ,Term Based BN?,  
113,100,US Motors,eBay Motors,Cars & Trucks,BMW,Z4,,,36469,4,Leaf,eBay Motors > Cars & Trucks > BMW > Z4,BMW Z4, ,  ,Term Based BN?,  
114,100,US Motors,eBay Motors,Cars & Trucks,BMW,Z8,,,36470,4,Leaf,eBay Motors > Cars & Trucks > BMW > Z8,BMW Z8, ,  ,Term Based BN?,  
115,100,US Motors,eBay Motors,Cars & Trucks,BMW,Other,,,6056,4,Leaf,eBay Motors > Cars & Trucks > BMW > Other,Other BMW Cars & Trucks, ,  ,Term Based BN?,  
116,100,US Motors,eBay Motors,Cars & Trucks,Bugatti,,,,162295,3,Parent,eBay Motors > Cars & Trucks > Bugatti,Bugatti Cars & Trucks, ,  ,Term Based BN?,  
117,100,US Motors,eBay Motors,Cars & Trucks,Bugatti,Veyron,,,162296,4,Leaf,eBay Motors > Cars & Trucks > Bugatti > Veyron,Bugatti Veyron, ,  ,Term Based BN?,  
118,100,US Motors,eBay Motors,Cars & Trucks,Bugatti,Other,,,162297,4,Leaf,eBay Motors > Cars & Trucks > Bugatti > Other,Other Bugatti Cars & Trucks, ,  ,Term Based BN?,  
119,100,US Motors,eBay Motors,Cars & Trucks,Buick,,,,6135,3,Parent,eBay Motors > Cars & Trucks > Buick,Buick Cars & Trucks, ,  ,Term Based BN?,  
120,100,US Motors,eBay Motors,Cars & Trucks,Buick,Cascada,,,184389,4,Leaf,eBay Motors > Cars & Trucks > Buick > Cascada,Buick Cascada, ,  ,Term Based BN?,  
121,100,US Motors,eBay Motors,Cars & Trucks,Buick,Century,,,6136,4,Leaf,eBay Motors > Cars & Trucks > Buick > Century,Buick Century, ,  ,Term Based BN?,  
122,100,US Motors,eBay Motors,Cars & Trucks,Buick,Electra,,,80732,4,Leaf,eBay Motors > Cars & Trucks > Buick > Electra,Buick Electra, ,  ,Term Based BN?,  
123,100,US Motors,eBay Motors,Cars & Trucks,Buick,Enclave,,,158468,4,Leaf,eBay Motors > Cars & Trucks > Buick > Enclave,Buick Enclave, ,  ,Term Based BN?,  
124,100,US Motors,eBay Motors,Cars & Trucks,Buick,Encore,,,178882,4,Leaf,eBay Motors > Cars & Trucks > Buick > Encore,Buick Encore, ,  ,Term Based BN?,  
125,100,US Motors,eBay Motors,Cars & Trucks,Buick,Envision,,,184390,4,Leaf,eBay Motors > Cars & Trucks > Buick > Envision,Buick Envision, ,  ,Term Based BN?,  
126,100,US Motors,eBay Motors,Cars & Trucks,Buick,Grand National,,,6137,4,Leaf,eBay Motors > Cars & Trucks > Buick > Grand National,Buick Grand National, ,  ,Term Based BN?,  
127,100,US Motors,eBay Motors,Cars & Trucks,Buick,Lacrosse,,,133185,4,Leaf,eBay Motors > Cars & Trucks > Buick > Lacrosse,Buick Lacrosse, ,  ,Term Based BN?,  
128,100,US Motors,eBay Motors,Cars & Trucks,Buick,LeSabre,,,6138,4,Leaf,eBay Motors > Cars & Trucks > Buick > LeSabre,Buick LeSabre, ,  ,Term Based BN?,  
129,100,US Motors,eBay Motors,Cars & Trucks,Buick,Lucerne,,,147118,4,Leaf,eBay Motors > Cars & Trucks > Buick > Lucerne,Buick Lucerne, ,  ,Term Based BN?,  
130,100,US Motors,eBay Motors,Cars & Trucks,Buick,Park Avenue,,,6139,4,Leaf,eBay Motors > Cars & Trucks > Buick > Park Avenue,Buick Park Avenue, ,  ,Term Based BN?,  
131,100,US Motors,eBay Motors,Cars & Trucks,Buick,Rainier,,,150110,4,Leaf,eBay Motors > Cars & Trucks > Buick > Rainier,Buick Rainier, ,  ,Term Based BN?,  
132,100,US Motors,eBay Motors,Cars & Trucks,Buick,Reatta,,,6140,4,Leaf,eBay Motors > Cars & Trucks > Buick > Reatta,Buick Reatta, ,  ,Term Based BN?,  
133,100,US Motors,eBay Motors,Cars & Trucks,Buick,Regal,,,6141,4,Leaf,eBay Motors > Cars & Trucks > Buick > Regal,Buick Regal, ,  ,Term Based BN?,  
134,100,US Motors,eBay Motors,Cars & Trucks,Buick,Rendezvous,,,80733,4,Leaf,eBay Motors > Cars & Trucks > Buick > Rendezvous,Buick Rendezvous, ,  ,Term Based BN?,  
135,100,US Motors,eBay Motors,Cars & Trucks,Buick,Riviera,,,6142,4,Leaf,eBay Motors > Cars & Trucks > Buick > Riviera,Buick Riviera, ,  ,Term Based BN?,  
136,100,US Motors,eBay Motors,Cars & Trucks,Buick,Roadmaster,,,6143,4,Leaf,eBay Motors > Cars & Trucks > Buick > Roadmaster,Buick Roadmaster, ,  ,Term Based BN?,  
137,100,US Motors,eBay Motors,Cars & Trucks,Buick,Skylark,,,16124,4,Leaf,eBay Motors > Cars & Trucks > Buick > Skylark,Buick Skylark, ,  ,Term Based BN?,  
138,100,US Motors,eBay Motors,Cars & Trucks,Buick,Terraza,,,159599,4,Leaf,eBay Motors > Cars & Trucks > Buick > Terraza,Buick Terraza, ,  ,Term Based BN?,  
139,100,US Motors,eBay Motors,Cars & Trucks,Buick,Verano,,,175855,4,Leaf,eBay Motors > Cars & Trucks > Buick > Verano,Buick Verano, ,  ,Term Based BN?,  
140,100,US Motors,eBay Motors,Cars & Trucks,Buick,Other,,,6144,4,Leaf,eBay Motors > Cars & Trucks > Buick > Other,Other Buick Cars & Trucks, ,  ,Term Based BN?,  
141,100,US Motors,eBay Motors,Cars & Trucks,Cadillac,,,,5347,3,Parent,eBay Motors > Cars & Trucks > Cadillac,Cadillac Cars & Trucks, ,  ,Term Based BN?,  
142,100,US Motors,eBay Motors,Cars & Trucks,Cadillac,Allante,,,5349,4,Leaf,eBay Motors > Cars & Trucks > Cadillac > Allante,Cadillac Allante, ,  ,Term Based BN?,  
143,100,US Motors,eBay Motors,Cars & Trucks,Cadillac,ATS,,,179658,4,Leaf,eBay Motors > Cars & Trucks > Cadillac > ATS,Cadillac ATS, ,  ,Term Based BN?,  
144,100,US Motors,eBay Motors,Cars & Trucks,Cadillac,Brougham,,,179859,4,Leaf,eBay Motors > Cars & Trucks > Cadillac > Brougham,Cadillac Brougham, ,  ,Term Based BN?,  
145,100,US Motors,eBay Motors,Cars & Trucks,Cadillac,Catera,,,6145,4,Leaf,eBay Motors > Cars & Trucks > Cadillac > Catera,Cadillac Catera, ,  ,Term Based BN?,  
146,100,US Motors,eBay Motors,Cars & Trucks,Cadillac,CTS,,,43903,4,Leaf,eBay Motors > Cars & Trucks > Cadillac > CTS,Cadillac CTS, ,  ,Term Based BN?,  
147,100,US Motors,eBay Motors,Cars & Trucks,Cadillac,DeVille,,,6146,4,Leaf,eBay Motors > Cars & Trucks > Cadillac > DeVille,Cadillac DeVille, ,  ,Term Based BN?,  
